32 8 32
0,28875 0,28375 0,6259375
20 0 8 True
24 0 0 True
20 0 0 True
16 0 0 True
12 0 0 True
8 0 0 True
4 0 0 True
28 0 24 True
28 0 16 True
28 0 8 True
28 0 0 True
24 0 24 True
24 0 16 True
24 0 8 True
20 0 24 True
20 0 16 True
16 0 24 True
16 0 16 True
16 0 8 True
12 0 8 True
12 0 16 True
12 0 24 True
8 0 8 True
8 0 24 True
8 0 16 True
4 0 8 True
4 0 16 True
4 0 24 True
0 0 8 True
0 0 16 True
0 0 24 True
0 0 0 True
14 0 8 True
14 0 16 True
14 0 0 True
10 0 24 True
10 0 8 True
10 0 0 True
10 0 16 True
6 0 0 True
6 0 24 True
6 0 16 True
6 0 8 True
2 0 24 True
2 0 16 True
2 0 8 True
2 0 0 True
30 0 24 True
18 0 8 True
0 4 0 True
0 4 8 True
0 4 16 True
0 4 24 True
26 0 16 True
26 0 8 True
26 0 0 True
24 4 0 True
22 0 0 True
18 0 0 True
16 4 0 True
8 4 0 True
30 0 16 True
30 0 8 True
30 0 0 True
26 0 24 True
22 0 24 True
22 0 16 True
22 0 8 True
18 0 24 True
18 0 16 True
14 0 24 True
0 2 0 True
0 2 8 True
0 2 16 True
0 2 24 True
18 4 8 True
25 0 0 True
25 0 8 True
25 0 16 True
1 0 24 True
1 0 8 True
1 0 0 True
1 0 16 True
26 4 0 True
20 4 8 True
20 2 8 True
24 2 0 True
21 0 0 True
20 4 0 True
20 2 0 True
18 4 0 True
17 0 0 True
16 2 0 True
13 0 0 True
12 2 0 True
12 4 0 True
10 4 0 True
9 0 0 True
8 2 0 True
5 0 0 True
4 2 0 True
4 4 0 True
2 4 0 True
29 0 0 True
29 0 8 True
29 0 16 True
29 0 24 True
25 0 24 True
21 0 8 True
21 0 16 True
21 0 24 True
17 0 16 True
17 0 8 True
17 0 24 True
13 0 24 True
13 0 16 True
13 0 8 True
9 0 8 True
9 0 16 True
9 0 24 True
5 0 16 True
5 0 24 True
5 0 8 True
3 0 16 True
30 2 24 True
25 4 0 True
18 2 8 True
0 6 0 True
0 6 8 True
31 0 24 True
26 2 0 True
19 0 8 True
27 0 0 True
23 0 0 True
22 2 0 True
19 0 0 True
18 2 0 True
17 4 0 True
15 0 0 True
14 2 0 True
11 0 0 True
10 2 0 True
9 4 0 True
7 0 0 True
6 2 0 True
3 0 0 True
2 2 0 True
1 4 0 True
1 4 8 True
1 4 16 True
1 4 24 True
31 0 16 True
31 0 0 True
31 0 8 True
27 0 16 True
27 0 8 True
27 0 24 True
23 0 24 True
23 0 8 True
23 0 16 True
19 0 24 True
19 0 16 True
15 0 16 True
15 0 24 True
15 0 8 True
11 0 8 True
11 0 16 True
11 0 24 True
7 0 24 True
7 0 8 True
7 0 16 True
3 0 8 True
3 0 24 True
1 2 0 True
3 4 0 True
4 1 0 True
5 2 0 True
5 4 0 True
8 1 0 True
9 2 0 True
11 4 0 True
12 1 0 True
13 2 0 True
13 4 0 True
16 1 0 True
17 2 0 True
19 4 0 True
20 1 0 True
21 4 0 True
21 2 0 True
24 1 0 True
25 2 0 True
20 1 8 True
19 4 8 True
27 4 0 True
0 1 24 True
0 1 16 True
0 1 0 True
0 1 8 True
1 2 8 True
1 2 16 True
1 2 24 True
24 4 8 False
31 2 24 True
26 1 16 True
26 1 8 True
26 1 0 True
19 2 8 True
27 2 0 True
24 5 0 True
23 2 0 True
22 1 0 True
19 2 0 True
18 1 0 True
16 5 0 True
15 2 0 True
14 1 0 True
11 2 0 True
10 1 0 True
8 5 0 True
7 2 0 True
6 1 0 True
3 2 0 True
2 1 0 True
1 6 0 True
1 6 8 True
30 1 24 True
18 1 8 True
0 5 8 True
0 0 18 True
0 5 0 True
0 0 10 True
0 0 2 True
0 0 26 True
0 5 16 True
0 5 24 True
24 2 8 False
28 2 24 False
26 4 8 False
26 4 24 False
28 4 24 False
0 3 8 True
0 3 0 True
0 3 24 True
0 3 16 True
18 5 8 True
25 1 0 True
25 1 16 True
25 1 8 True
2 0 18 True
2 0 10 True
2 0 26 True
2 0 2 True
8 0 10 True
8 0 18 True
8 0 2 True
8 0 26 True
16 0 2 True
1 1 8 True
1 1 16 True
1 1 24 True
1 1 0 True
2 5 0 True
4 3 0 True
4 5 0 True
5 1 0 True
8 3 0 True
9 1 0 True
10 5 0 True
12 3 0 True
12 5 0 True
13 1 0 True
16 3 0 True
17 1 0 True
26 5 0 True
20 5 8 True
20 3 8 True
24 3 0 True
21 1 0 True
20 5 0 True
20 3 0 True
18 5 0 True
25 4 8 False
26 2 8 False
26 2 24 False
31 1 24 True
26 3 0 True
19 1 8 True
27 1 0 True
25 5 0 True
23 1 0 True
22 3 0 True
19 1 0 True
18 3 0 True
17 5 0 True
15 1 0 True
14 3 0 True
11 1 0 True
10 3 0 True
9 5 0 True
7 1 0 True
6 3 0 True
3 1 0 True
2 3 0 True
1 5 0 True
1 5 24 True
1 5 16 True
1 5 8 True
1 0 10 True
1 0 18 True
1 0 26 True
24 0 26 True
24 0 18 True
24 0 10 True
24 0 2 True
18 0 2 True
16 0 10 True
16 0 18 True
16 0 26 True
10 0 2 True
10 0 10 True
10 0 18 True
10 0 26 True
4 0 2 True
4 0 10 True
4 0 18 True
1 0 2 True
30 3 24 True
18 3 8 True
0 7 0 True
0 7 8 True
0 2 10 True
0 2 18 True
0 2 26 True
8 1 8 False
8 1 16 False
8 1 24 False
16 1 8 False
16 1 16 False
16 1 24 False
24 1 8 False
24 1 16 False
24 1 24 False
4 1 8 False
4 1 16 False
4 1 24 False
12 1 8 False
12 1 16 False
12 1 24 False
20 1 16 False
20 1 24 False
28 1 0 False
28 1 8 False
28 1 16 False
28 1 24 False
25 2 8 False
21 2 8 False
29 2 24 False
27 4 8 False
27 4 24 False
21 4 8 False
29 4 24 False
2 1 8 False
2 1 16 False
2 1 24 False
10 1 8 False
10 1 16 False
10 1 24 False
18 1 16 False
18 1 24 False
26 1 24 False
6 1 8 False
6 1 16 False
6 1 24 False
14 1 8 False
14 1 16 False
14 1 24 False
22 1 8 False
22 1 16 False
22 1 24 False
30 1 0 False
30 1 8 False
30 1 16 False
24 5 8 False
27 2 8 False
27 2 24 False
28 0 25 True
20 0 9 True
19 5 8 True
27 5 0 True
25 3 0 True
21 3 0 True
19 5 0 True
17 3 0 True
13 3 0 True
11 5 0 True
9 3 0 True
5 3 0 True
3 5 0 True
1 3 0 True
1 3 16 True
1 3 24 True
1 3 8 True
28 0 1 True
28 0 9 True
28 0 17 True
24 0 17 True
24 0 25 True
24 0 1 True
24 0 9 True
20 0 1 True
20 0 17 True
20 0 25 True
16 0 25 True
16 0 17 True
16 0 9 True
16 0 1 True
12 0 25 True
12 0 17 True
12 0 1 True
12 0 9 True
8 0 9 True
8 0 17 True
8 0 1 True
8 0 25 True
4 0 9 True
4 0 1 True
4 0 17 True
4 0 25 True
0 0 25 True
0 0 17 True
0 0 9 True
0 0 1 True
9 1 8 False
9 1 16 False
9 1 24 False
17 1 8 False
17 1 16 False
17 1 24 False
25 1 24 False
5 1 8 False
5 1 16 False
5 1 24 False
13 1 8 False
13 1 16 False
13 1 24 False
21 1 8 False
21 1 16 False
21 1 24 False
29 1 0 False
29 1 8 False
29 1 16 False
29 1 24 False
24 3 8 False
