64 64 64
0,144375 0,03546875 0,3129688
-4,62 -0,006999969 -10,015
32 0 48 True
16 0 16 True
16 16 16 True
32 0 0 True
32 16 0 True
16 0 0 True
16 16 0 True
16 32 0 True
16 48 0 True
32 0 16 True
32 0 32 True
16 0 32 True
16 0 48 True
0 0 48 True
0 0 0 True
0 0 16 True
0 0 32 True
20 16 16 True
20 0 16 True
20 0 48 True
34 0 48 True
36 0 48 True
34 16 32 True
34 0 32 True
36 0 32 True
36 16 32 True
36 0 16 True
36 16 16 True
2 0 32 True
2 0 0 True
2 0 48 True
2 0 16 True
4 0 32 True
4 0 0 True
4 0 16 True
4 0 48 True
18 0 16 True
18 0 48 True
18 0 32 True
18 0 0 True
20 0 32 True
20 0 0 True
34 0 16 True
34 0 0 True
36 0 0 True
2 32 48 True
2 32 16 True
2 48 48 True
2 48 16 True
2 16 48 True
2 48 32 True
2 32 32 True
2 16 16 True
2 16 32 True
2 48 0 True
2 32 0 True
2 16 0 True
4 16 0 True
4 48 0 True
4 32 0 True
18 48 0 True
18 32 0 True
18 16 0 True
20 16 0 True
20 48 0 True
20 32 0 True
34 16 0 True
36 16 0 True
18 16 16 True
0 16 0 False
0 16 16 False
0 16 32 False
0 16 48 False
0 32 0 False
0 32 16 False
0 32 32 False
0 32 48 False
0 48 0 False
0 48 16 False
0 48 32 False
0 48 48 False
32 16 32 False
33 0 48 True
17 0 16 True
17 16 16 True
16 20 16 True
16 4 16 True
33 0 0 True
33 16 0 True
32 20 0 True
32 4 0 True
17 48 0 True
17 0 0 True
17 16 0 True
17 32 0 True
16 52 0 True
16 36 0 True
16 20 0 True
16 4 0 True
33 0 32 True
33 0 16 True
17 0 32 True
17 0 48 True
1 0 0 True
1 0 16 True
1 0 32 True
1 0 48 True
33 16 32 True
1 16 0 True
1 16 16 True
1 16 32 True
1 48 16 True
1 16 48 True
1 48 32 True
1 32 32 True
1 32 48 True
1 32 16 True
1 32 0 True
1 48 0 True
1 48 48 True
21 0 16 True
21 16 16 True
21 0 48 True
35 0 48 True
37 0 48 True
35 16 32 True
35 0 32 True
37 16 32 True
37 0 32 True
37 16 16 True
37 0 16 True
19 0 48 True
3 0 0 True
3 0 16 True
3 0 32 True
3 0 48 True
5 0 48 True
5 0 32 True
5 0 0 True
5 0 16 True
19 0 16 True
19 0 32 True
19 0 0 True
21 0 0 True
21 0 32 True
35 0 16 True
35 0 0 True
37 0 0 True
3 16 16 True
3 16 32 True
3 16 48 True
3 32 16 True
3 32 32 True
3 32 48 True
3 48 16 True
3 48 32 True
3 48 48 True
3 16 0 True
3 32 0 True
3 48 0 True
5 48 0 True
5 16 0 True
5 32 0 True
19 16 0 True
19 32 0 True
19 48 0 True
21 16 0 True
21 32 0 True
21 48 0 True
35 16 0 True
37 16 0 True
19 16 16 True
0 4 0 False
0 4 16 False
0 4 32 False
0 4 48 False
0 20 0 False
0 20 16 False
0 20 32 False
0 20 48 False
0 36 0 False
0 36 16 False
0 36 32 False
0 36 48 False
0 52 0 False
0 52 16 False
0 52 32 False
0 52 48 False
32 4 32 False
32 20 32 False
0 2 0 False
1 36 16 True
1 36 0 True
1 20 48 True
1 20 32 True
1 52 48 True
1 4 16 True
1 36 32 True
1 20 16 True
1 20 0 True
1 4 0 True
1 36 48 True
1 52 16 True
1 52 0 True
1 52 32 True
1 2 0 True
1 4 48 True
1 4 32 True
33 20 32 True
33 4 32 True
16 49 0 True
16 33 0 True
16 17 0 True
16 1 0 True
17 52 0 True
17 20 0 True
17 4 0 True
17 36 0 True
32 17 0 True
32 1 0 True
33 4 0 True
33 20 0 True
16 17 16 True
16 1 16 True
17 20 16 True
17 4 16 True
32 1 48 True
0 2 16 False
0 2 32 False
36 17 32 True
36 1 32 True
1 2 32 True
1 2 16 True
36 1 16 True
36 17 16 True
2 33 48 True
2 33 32 True
2 49 48 True
2 17 16 True
2 17 48 True
2 1 32 True
2 1 16 True
2 49 32 True
2 1 48 True
2 49 16 True
2 17 32 True
2 33 16 True
2 49 0 True
2 33 0 True
2 1 0 True
2 17 0 True
2 2 0 True
4 17 0 True
4 1 0 True
4 49 0 True
4 33 0 True
18 1 0 True
18 49 0 True
18 33 0 True
18 17 0 True
20 49 0 True
20 33 0 True
20 17 0 True
20 1 0 True
34 1 0 True
34 17 0 True
36 1 0 True
36 17 0 True
18 1 16 True
18 17 16 True
20 17 16 True
20 1 16 True
20 1 48 True
34 1 48 True
36 1 48 True
34 1 32 True
34 17 32 True
0 1 0 False
0 1 16 False
0 1 32 False
0 1 48 False
0 17 0 False
0 17 16 False
0 17 32 False
0 17 48 False
0 33 0 False
0 33 16 False
0 33 32 False
0 33 48 False
0 49 0 False
0 49 16 False
0 49 32 False
0 49 48 False
16 1 32 False
16 1 48 False
32 1 16 False
32 1 32 False
32 17 32 False
1 1 0 True
1 33 48 True
1 1 48 True
1 1 16 True
1 49 0 True
1 33 0 True
1 17 48 True
1 33 16 True
1 1 32 True
1 33 32 True
1 49 48 True
1 17 32 True
1 49 32 True
1 17 0 True
1 17 16 True
1 49 16 True
33 1 32 True
33 17 32 True
16 53 0 True
16 37 0 True
16 21 0 True
16 5 0 True
17 49 0 True
17 17 0 True
17 1 0 True
17 33 0 True
32 21 0 True
32 5 0 True
33 17 0 True
33 1 0 True
16 21 16 True
16 5 16 True
17 1 16 True
17 17 16 True
33 1 48 True
18 1 32 False
18 1 48 False
34 1 16 False
4 1 16 False
4 1 32 False
4 1 48 False
20 1 32 False
37 17 16 True
37 1 16 True
37 1 32 True
19 1 48 True
3 17 16 True
3 33 48 True
3 17 32 True
3 49 48 True
3 49 32 True
3 17 48 True
3 1 48 True
3 49 16 True
3 33 32 True
3 1 32 True
3 33 16 True
3 1 16 True
3 49 0 True
3 1 0 True
3 2 0 True
3 33 0 True
3 17 0 True
5 17 0 True
5 1 0 True
5 33 0 True
5 49 0 True
19 1 0 True
19 49 0 True
19 33 0 True
19 17 0 True
21 17 0 True
21 49 0 True
21 33 0 True
21 1 0 True
35 1 0 True
35 17 0 True
37 17 0 True
37 1 0 True
19 1 16 True
19 17 16 True
21 17 16 True
21 1 16 True
21 1 48 True
35 1 48 True
37 1 48 True
35 1 32 True
35 17 32 True
37 17 32 True
17 1 32 False
17 1 48 False
33 1 16 False
0 5 0 False
0 5 16 False
0 5 32 False
0 5 48 False
0 21 0 False
0 21 16 False
0 21 32 False
0 21 48 False
0 37 0 False
0 37 16 False
0 37 32 False
0 37 48 False
0 53 0 False
0 53 16 False
0 53 32 False
0 53 48 False
32 5 32 False
32 21 32 False
0 3 0 False
0 0 1 True
0 0 17 True
0 0 33 True
0 0 49 True
1 53 0 True
1 53 32 True
1 5 0 True
1 37 48 True
1 37 32 True
1 37 16 True
1 37 0 True
1 3 0 True
1 21 48 True
1 21 32 True
1 21 16 True
1 21 0 True
1 53 16 True
1 53 48 True
1 5 48 True
1 5 32 True
1 5 16 True
33 5 32 True
33 21 32 True
16 0 17 True
16 0 1 True
16 0 49 True
16 0 33 True
32 0 17 True
32 0 1 True
32 0 49 True
32 0 33 True
16 48 1 True
16 16 1 True
16 32 1 True
17 21 0 True
17 37 0 True
17 53 0 True
17 5 0 True
32 16 1 True
33 5 0 True
33 21 0 True
16 16 17 True
17 21 16 True
17 5 16 True
19 1 32 False
35 1 16 False
5 1 16 False
5 1 32 False
5 1 48 False
21 1 32 False
0 3 16 False
0 3 32 False
34 16 1 True
36 16 1 True
36 0 1 True
18 16 17 True
18 0 17 True
20 0 17 True
20 16 17 True
20 0 49 True
34 0 49 True
